,index,asm,correlation,variance,idm,entropy,sum_entropy,difference_entropy,sum_avg,contrast,energy,type
61,61,0.001604052674032427,-19541.440838319595,478.0578221098163,0.10485528385420528,-10.593710609348074,7.108508059621619,5.5077385440656625,79.98465496930993,7173361.000000002,0.001604052674032427,Normal
62,62,0.0019730521880133777,-19648.006118702786,472.34956679349784,0.11189651318007475,-10.545173079011338,7.100413959988028,5.489427764384722,79.99736499473002,7173361.000000042,0.0019730521880133777,Normal
63,63,0.001163307315880842,-17259.415273573566,556.8043440879493,0.08599185331015186,-10.651145743994142,7.156923499476402,5.6593131317036605,79.97380494760988,7173360.999999962,0.001163307315880842,Normal
64,64,0.0012111879659813904,-18286.424477683766,511.6437777301744,0.097195481648447,-10.739329445985847,7.161807081324705,5.573187803661316,80.0260400520801,7173361.000000018,0.0012111879659813904,Normal
65,65,0.0010733948502469962,-17784.882603013713,531.3268176644852,0.08973120454839895,-10.75869125118826,7.167300283226859,5.612429636236133,79.97566495132989,7173360.999999958,0.0010733948502469962,Normal
66,66,0.001157098645436834,-17948.168620113403,531.5658467379308,0.08653287941999802,-10.627660130731003,7.136165414826648,5.6283184348271895,79.94776489552982,7173361.000000029,0.001157098645436834,Normal
67,67,0.0012610616179289291,-17378.98846697259,551.6223309593374,0.08716550105495256,-10.57813669559873,7.136088078637502,5.648717576783704,79.96527993055986,7173361.000000076,0.0012610616179289291,Normal
68,68,0.001117180137419207,-18130.64837948341,522.1012779579034,0.08808034394575828,-10.690983878672725,7.147199108528054,5.601795112553124,79.95241490482982,7173361.000000022,0.001117180137419207,Normal
69,69,0.0011729494578556403,-17599.173805986677,545.5287829569398,0.08451130901036137,-10.62520889386998,7.141448916968896,5.6435555130257296,79.98806497612996,7173361.00000005,0.0011729494578556403,Normal
70,70,0.001293288776728072,-18769.129826755652,504.26233728374206,0.09165717622364411,-10.601986788916566,7.110941967632228,5.5788473700653345,80.01038502077004,7173361.000000028,0.001293288776728072,Normal
71,71,0.0037238601344568105,-20415.90284697808,453.2581828391383,0.12665025578104672,-10.285126258377243,7.00371200018202,5.440562044938722,79.99689999379999,7173361.000000014,0.0037238601344568105,Normal
72,72,0.005010363803607073,-21832.33136988722,413.3003002068377,0.14273977176562103,-10.094502825384465,6.966368159283826,5.3126385665484195,79.94218488436977,7173361.000000049,0.005010363803607073,Normal
73,73,0.0024280905413211445,-20714.277663797824,444.57993291893314,0.1175294749912445,-10.396729577084473,7.0546717597092155,5.432289127320503,80.00945501891009,7173361.000000048,0.0024280905413211445,Normal
74,74,0.0013875928347251833,-19205.436828226375,488.40778628609144,0.09878192902423069,-10.65065287628074,7.124490467083513,5.539762887233033,79.9716349432698,7173361.0000000615,0.0013875928347251833,Normal
75,75,0.0021209656352290276,-19767.304113146314,468.10316061824994,0.11080527922968293,-10.456413311562512,7.070742431574515,5.487240843256733,79.98992497985,7173361.000000085,0.0021209656352290276,Normal
76,76,0.0020064413956638154,-19873.319317015113,464.7256847778002,0.11189555976019405,-10.516016397677001,7.08927495354515,5.469042660898391,79.93753487506976,7173361.00000002,0.0020064413956638154,Normal
77,77,0.001155490165252914,-18424.25588833569,514.053526072828,0.09153112778196162,-10.669964003685353,7.135019028660488,5.593348277016582,79.93985987971979,7173361.000000007,0.001155490165252914,Normal
78,78,0.010155122733481566,-20346.890935457926,463.6366861003298,0.16486867929994664,-9.820667570067684,6.793241978883331,5.406609125293724,79.99705499410999,7173361.00000006,0.010155122733481566,Normal
79,79,0.04694309653718164,-23819.474587830875,390.83162127295174,0.27837818888518756,-8.764118066491873,6.21225627391387,4.974819687630745,79.98837497674992,7173361.000000037,0.04694309653718164,Normal
